storage_id,mode,delay_ms,workers,trial_index,worker_id,operation_index,lease_id,warden_ns,claim_ns,application_ns,unattributed_ns,end_to_end_ns
storage-0,enforce,0.0,1,0,0,1,lease_5f5438e4bbad46f0a18796c99960d3f0,14017400,10940000,300,1000,24958700
storage-0,enforce,0.0,1,0,0,2,lease_5f5438e4bbad46f0a18796c99960d3f0,13771700,10609100,200,1100,24382100
storage-0,enforce,0.0,1,0,0,3,lease_5f5438e4bbad46f0a18796c99960d3f0,15661500,10534000,200,1200,26196900
storage-0,enforce,0.0,1,0,0,4,lease_5f5438e4bbad46f0a18796c99960d3f0,13677500,11548900,300,1100,25227800
storage-0,enforce,0.0,1,0,0,5,lease_5f5438e4bbad46f0a18796c99960d3f0,13353200,10947200,900,1300,24302600
storage-0,enforce,0.0,1,0,0,6,lease_5f5438e4bbad46f0a18796c99960d3f0,15199700,10187200,200,1200,25388300
storage-0,enforce,0.0,1,0,0,7,lease_5f5438e4bbad46f0a18796c99960d3f0,14742600,10801100,300,1100,25545100
storage-0,enforce,0.0,1,0,0,8,lease_5f5438e4bbad46f0a18796c99960d3f0,14663400,10978700,400,1100,25643600
storage-0,enforce,0.0,1,0,0,9,lease_5f5438e4bbad46f0a18796c99960d3f0,14096800,10248800,500,1400,24347500
storage-0,enforce,0.0,1,0,0,10,lease_5f5438e4bbad46f0a18796c99960d3f0,13917000,10474900,200,1300,24393400
storage-0,enforce,0.0,1,0,0,11,lease_5f5438e4bbad46f0a18796c99960d3f0,13484000,10664500,300,1100,24149900
storage-0,enforce,0.0,1,0,0,12,lease_5f5438e4bbad46f0a18796c99960d3f0,13263000,10154500,100,1000,23418600
storage-0,enforce,0.0,1,0,0,13,lease_5f5438e4bbad46f0a18796c99960d3f0,14642000,10040800,200,1300,24684300
storage-0,enforce,0.0,1,0,0,14,lease_5f5438e4bbad46f0a18796c99960d3f0,14170300,11209900,400,1400,25382000
storage-0,enforce,0.0,1,0,0,15,lease_5f5438e4bbad46f0a18796c99960d3f0,13861600,10481500,600,1400,24345100
storage-0,enforce,0.0,1,0,0,16,lease_5f5438e4bbad46f0a18796c99960d3f0,13786800,10136600,200,1100,23924700
storage-0,enforce,0.0,1,0,0,17,lease_5f5438e4bbad46f0a18796c99960d3f0,15191100,10900100,300,1300,26092800
storage-0,enforce,0.0,1,0,0,18,lease_5f5438e4bbad46f0a18796c99960d3f0,14325600,10311700,300,1000,24638600
storage-0,enforce,0.0,1,0,0,19,lease_5f5438e4bbad46f0a18796c99960d3f0,13197600,10381200,200,1300,23580300
storage-0,enforce,0.0,1,0,0,20,lease_5f5438e4bbad46f0a18796c99960d3f0,13972800,11420100,300,1000,25394200
storage-0,enforce,0.0,1,0,0,21,lease_5f5438e4bbad46f0a18796c99960d3f0,14874300,10342500,300,1400,25218500
storage-0,enforce,0.0,1,0,0,22,lease_5f5438e4bbad46f0a18796c99960d3f0,14419100,10694500,300,1300,25115200
storage-0,enforce,0.0,1,0,0,23,lease_5f5438e4bbad46f0a18796c99960d3f0,15118300,11337300,200,1400,26457200
storage-0,enforce,0.0,1,0,0,24,lease_5f5438e4bbad46f0a18796c99960d3f0,13671400,11132200,200,1100,24804900
storage-0,enforce,0.0,1,0,0,25,lease_5f5438e4bbad46f0a18796c99960d3f0,15496000,10751600,200,1300,26249100
storage-0,enforce,0.0,1,0,0,26,lease_5f5438e4bbad46f0a18796c99960d3f0,14333400,11555900,500,1400,25891200
storage-0,enforce,0.0,1,0,0,27,lease_5f5438e4bbad46f0a18796c99960d3f0,14846500,10806200,300,1100,25654100
storage-0,enforce,0.0,1,0,0,28,lease_5f5438e4bbad46f0a18796c99960d3f0,14704000,11149900,300,1700,25855900
storage-0,enforce,0.0,1,0,0,29,lease_5f5438e4bbad46f0a18796c99960d3f0,15331600,10273400,300,1300,25606600
storage-0,enforce,0.0,1,0,0,30,lease_5f5438e4bbad46f0a18796c99960d3f0,14123400,11219500,200,1300,25344400
storage-0,enforce,0.0,1,0,0,31,lease_5f5438e4bbad46f0a18796c99960d3f0,16187900,11296900,300,1200,27486300
storage-0,enforce,0.0,1,0,0,32,lease_5f5438e4bbad46f0a18796c99960d3f0,14807600,10644400,300,900,25453200
storage-0,enforce,0.0,1,0,0,33,lease_5f5438e4bbad46f0a18796c99960d3f0,14619100,10714600,200,1300,25335200
storage-0,enforce,0.0,1,0,0,34,lease_5f5438e4bbad46f0a18796c99960d3f0,13423600,10644700,300,1100,24069700
storage-0,enforce,0.0,1,0,0,35,lease_5f5438e4bbad46f0a18796c99960d3f0,14583000,11012600,300,1300,25597200
storage-0,enforce,0.0,1,0,0,36,lease_5f5438e4bbad46f0a18796c99960d3f0,15235500,10508600,300,1700,25746100
storage-0,enforce,0.0,1,0,0,37,lease_5f5438e4bbad46f0a18796c99960d3f0,16321000,10757200,200,1200,27079600
storage-0,enforce,0.0,1,0,0,38,lease_5f5438e4bbad46f0a18796c99960d3f0,14285100,9901400,400,1200,24188100
