scenario,placement,workload,step,phase,site,lets_authorized,lets_reason,lets_latency_ns,central_authorized,central_reason,central_latency_ns,actions_remaining_at_site,stranded_on_blocked_peer,site_authorized_cumulative,site_denied_cumulative,central_site_authorized_cumulative,central_site_denied_cumulative
equal-placement-skew70-workload,equal,70-percent-s1,6,partition,s1,True,authorized_and_claimed,24963317,False,application_path_partition,,5,9,5,0,4,1
equal-placement-skew70-workload,equal,70-percent-s1,7,partition,s1,True,authorized_and_claimed,21502248,False,application_path_partition,,4,9,6,0,4,2
equal-placement-skew70-workload,equal,70-percent-s1,8,partition,s1,True,authorized_and_claimed,20666845,False,application_path_partition,,3,9,7,0,4,3
equal-placement-skew70-workload,equal,70-percent-s1,9,partition,s1,True,authorized_and_claimed,21748591,False,application_path_partition,,2,9,8,0,4,4
equal-placement-skew70-workload,equal,70-percent-s1,10,partition,s1,True,authorized_and_claimed,22049865,False,application_path_partition,,1,9,9,0,4,5
equal-placement-skew70-workload,equal,70-percent-s1,11,partition,s1,True,authorized_and_claimed,20757954,False,application_path_partition,,0,9,10,0,4,6
equal-placement-skew70-workload,equal,70-percent-s1,12,partition,s1,False,policy_denied,8429520,False,application_path_partition,,0,9,10,1,4,7
equal-placement-skew70-workload,equal,70-percent-s1,13,partition,s2,True,authorized_and_claimed,19727137,True,authorized,1248338,8,0,2,0,2,0
equal-placement-skew70-workload,equal,70-percent-s1,14,partition,s3,True,authorized_and_claimed,46376713,True,authorized,1161479,8,0,2,0,2,0
equal-placement-skew70-workload,equal,70-percent-s1,15,recovery,s1,True,authorized_and_claimed,21587885,True,authorized,1377622,2,0,11,1,5,7
equal-placement-skew70-workload,equal,70-percent-s1,16,recovery,s1,True,authorized_and_claimed,21422740,True,authorized,1245699,1,0,12,1,6,7
equal-placement-skew70-workload,equal,70-percent-s1,17,recovery,s1,True,authorized_and_claimed,21334484,True,authorized,1006724,0,0,13,1,7,7
equal-placement-skew70-workload,equal,70-percent-s1,18,recovery,s2,True,authorized_and_claimed,19440067,True,authorized,1257778,4,0,3,0,3,0
equal-placement-skew70-workload,equal,70-percent-s1,19,recovery,s3,True,authorized_and_claimed,35847890,True,authorized,1124045,7,0,3,0,3,0
skew70-placement-equal-workload,70-percent-s1,equal,0,normal,s1,True,authorized_and_claimed,19837135,True,authorized,1484452,20,0,1,0,1,0
skew70-placement-equal-workload,70-percent-s1,equal,1,normal,s1,True,authorized_and_claimed,21659378,True,authorized,1173049,19,0,2,0,2,0
skew70-placement-equal-workload,70-percent-s1,equal,2,normal,s2,True,authorized_and_claimed,19950970,True,authorized,1052509,3,0,1,0,1,0
skew70-placement-equal-workload,70-percent-s1,equal,3,normal,s2,True,authorized_and_claimed,19502888,True,authorized,1304816,2,0,2,0,2,0
skew70-placement-equal-workload,70-percent-s1,equal,4,normal,s3,True,authorized_and_claimed,55467823,True,authorized,1280741,4,0,1,0,1,0
skew70-placement-equal-workload,70-percent-s1,equal,5,normal,s3,True,authorized_and_claimed,36788410,True,authorized,1471022,3,0,2,0,2,0
skew70-placement-equal-workload,70-percent-s1,equal,6,partition,s1,True,authorized_and_claimed,21576093,False,application_path_partition,,18,2,3,0,2,1
skew70-placement-equal-workload,70-percent-s1,equal,7,partition,s1,True,authorized_and_claimed,26808784,False,application_path_partition,,17,2,4,0,2,2
skew70-placement-equal-workload,70-percent-s1,equal,8,partition,s1,True,authorized_and_claimed,20440760,False,application_path_partition,,16,2,5,0,2,3
skew70-placement-equal-workload,70-percent-s1,equal,9,partition,s2,True,authorized_and_claimed,21029863,True,authorized,1398962,1,16,3,0,3,0
skew70-placement-equal-workload,70-percent-s1,equal,10,partition,s2,True,authorized_and_claimed,20465572,True,authorized,1503672,0,16,4,0,4,0
skew70-placement-equal-workload,70-percent-s1,equal,11,partition,s2,False,policy_denied,10435088,True,authorized,1335537,0,16,4,1,5,0
skew70-placement-equal-workload,70-percent-s1,equal,12,partition,s3,True,authorized_and_claimed,51413013,True,authorized,1375453,2,0,3,0,3,0
skew70-placement-equal-workload,70-percent-s1,equal,13,partition,s3,True,authorized_and_claimed,50437150,True,authorized,1247032,1,0,4,0,4,0
skew70-placement-equal-workload,70-percent-s1,equal,14,partition,s3,True,authorized_and_claimed,40929288,True,authorized,1177046,0,0,5,0,5,0
skew70-placement-equal-workload,70-percent-s1,equal,15,recovery,s1,True,authorized_and_claimed,20022751,True,authorized,1506163,13,0,6,0,3,3
skew70-placement-equal-workload,70-percent-s1,equal,16,recovery,s2,True,authorized_and_claimed,22000921,True,authorized,1402786,1,0,5,1,6,0
skew70-placement-equal-workload,70-percent-s1,equal,17,recovery,s3,False,policy_denied,4401471,True,authorized,1250299,0,0,5,1,6,0
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,0,normal,s1,True,authorized_and_claimed,21103084,True,authorized,1753213,20,0,1,0,1,0
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,1,normal,s1,True,authorized_and_claimed,20544340,True,authorized,1430173,19,0,2,0,2,0
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,2,normal,s1,True,authorized_and_claimed,21699934,True,authorized,1231309,18,0,3,0,3,0
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,3,normal,s1,True,authorized_and_claimed,21743646,True,authorized,16775867,17,0,4,0,4,0
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,4,normal,s2,True,authorized_and_claimed,19823433,True,authorized,1354361,3,0,1,0,1,0
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,5,normal,s3,True,authorized_and_claimed,38351430,True,authorized,1472258,4,0,1,0,1,0
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,6,partition,s1,True,authorized_and_claimed,22638885,False,application_path_partition,,16,3,5,0,4,1
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,7,partition,s1,True,authorized_and_claimed,21444987,False,application_path_partition,,15,3,6,0,4,2
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,8,partition,s1,True,authorized_and_claimed,21284835,False,application_path_partition,,14,3,7,0,4,3
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,9,partition,s1,True,authorized_and_claimed,20333376,False,application_path_partition,,13,3,8,0,4,4
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,10,partition,s1,True,authorized_and_claimed,21775754,False,application_path_partition,,12,3,9,0,4,5
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,11,partition,s1,True,authorized_and_claimed,21313578,False,application_path_partition,,11,3,10,0,4,6
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,12,partition,s1,True,authorized_and_claimed,21631134,False,application_path_partition,,10,3,11,0,4,7
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,13,partition,s2,True,authorized_and_claimed,19921089,True,authorized,1397210,2,10,2,0,2,0
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,14,partition,s3,True,authorized_and_claimed,42331261,True,authorized,1476232,3,0,2,0,2,0
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,15,recovery,s1,True,authorized_and_claimed,22002785,True,authorized,1394922,10,0,12,0,5,7
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,16,recovery,s1,True,authorized_and_claimed,20741988,True,authorized,14725354,9,0,13,0,6,7
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,17,recovery,s1,True,authorized_and_claimed,21369017,True,authorized,1237068,8,0,14,0,7,7
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,18,recovery,s2,True,authorized_and_claimed,21420903,True,authorized,1018101,0,0,3,0,3,0
skew70-placement-skew70-workload,70-percent-s1,70-percent-s1,19,recovery,s3,True,authorized_and_claimed,43401689,True,authorized,1318957,2,0,3,0,3,0
