scenario,placement,workload,step,phase,site,lets_authorized,lets_reason,lets_latency_ns,central_authorized,central_reason,central_latency_ns,actions_remaining_at_site,stranded_on_blocked_peer,site_authorized_cumulative,site_denied_cumulative,central_site_authorized_cumulative,central_site_denied_cumulative
equal-placement-equal-workload,equal,equal,0,normal,s1,True,authorized_and_claimed,22784442,True,authorized,1854206,9,0,1,0,1,0
equal-placement-equal-workload,equal,equal,1,normal,s1,True,authorized_and_claimed,22062569,True,authorized,1000642,8,0,2,0,2,0
equal-placement-equal-workload,equal,equal,2,normal,s2,True,authorized_and_claimed,15205403,True,authorized,3800440,9,0,1,0,1,0
equal-placement-equal-workload,equal,equal,3,normal,s2,True,authorized_and_claimed,15842420,True,authorized,1044585,8,0,2,0,2,0
equal-placement-equal-workload,equal,equal,4,normal,s3,True,authorized_and_claimed,51371981,True,authorized,1052963,9,0,1,0,1,0
equal-placement-equal-workload,equal,equal,5,normal,s3,True,authorized_and_claimed,40047740,True,authorized,1084869,8,0,2,0,2,0
equal-placement-equal-workload,equal,equal,6,partition,s1,True,authorized_and_claimed,22082762,False,application_path_partition,,7,8,3,0,2,1
equal-placement-equal-workload,equal,equal,7,partition,s1,True,authorized_and_claimed,21208151,False,application_path_partition,,6,8,4,0,2,2
equal-placement-equal-workload,equal,equal,8,partition,s1,True,authorized_and_claimed,22625391,False,application_path_partition,,5,8,5,0,2,3
equal-placement-equal-workload,equal,equal,9,partition,s2,True,authorized_and_claimed,14677671,True,authorized,973350,7,5,3,0,3,0
equal-placement-equal-workload,equal,equal,10,partition,s2,True,authorized_and_claimed,15087334,True,authorized,988604,6,5,4,0,4,0
equal-placement-equal-workload,equal,equal,11,partition,s2,True,authorized_and_claimed,14825348,True,authorized,1297536,5,5,5,0,5,0
equal-placement-equal-workload,equal,equal,12,partition,s3,True,authorized_and_claimed,45521722,True,authorized,1095853,7,0,3,0,3,0
equal-placement-equal-workload,equal,equal,13,partition,s3,True,authorized_and_claimed,37950952,True,authorized,1153253,6,0,4,0,4,0
equal-placement-equal-workload,equal,equal,14,partition,s3,True,authorized_and_claimed,42601497,True,authorized,966418,5,0,5,0,5,0
equal-placement-equal-workload,equal,equal,15,recovery,s1,True,authorized_and_claimed,20268252,True,authorized,981924,5,0,6,0,3,3
equal-placement-equal-workload,equal,equal,16,recovery,s2,True,authorized_and_claimed,21914657,True,authorized,1045861,3,0,6,0,6,0
equal-placement-equal-workload,equal,equal,17,recovery,s3,True,authorized_and_claimed,54584171,True,authorized,1044279,4,0,6,0,6,0
equal-placement-skew70-workload,equal,70-percent-s1,0,normal,s1,True,authorized_and_claimed,20452901,True,authorized,1485205,9,0,1,0,1,0
equal-placement-skew70-workload,equal,70-percent-s1,1,normal,s1,True,authorized_and_claimed,20058244,True,authorized,1250661,8,0,2,0,2,0
equal-placement-skew70-workload,equal,70-percent-s1,2,normal,s1,True,authorized_and_claimed,20266466,True,authorized,979681,7,0,3,0,3,0
equal-placement-skew70-workload,equal,70-percent-s1,3,normal,s1,True,authorized_and_claimed,20995789,True,authorized,1797001,6,0,4,0,4,0
equal-placement-skew70-workload,equal,70-percent-s1,4,normal,s2,True,authorized_and_claimed,21323789,True,authorized,1312227,9,0,1,0,1,0
equal-placement-skew70-workload,equal,70-percent-s1,5,normal,s3,True,authorized_and_claimed,37329770,True,authorized,1424766,9,0,1,0,1,0
